ID,Count
18288,591.1912792627634
18289,471.80157039259643
18290,399.28944696581954
18291,329.9186050378264
18292,277.69348687577076
18293,248.58147673152263
18294,267.2925882677574
18295,309.98880235156213
18296,356.97144737685164
18297,461.2851062444942
18298,654.7418203535451
18299,725.8671572992537
18300,733.5575186942699
18301,648.7744361016748
18302,693.6979133217416
18303,684.9359441913543
18304,667.4540297633398
18305,683.0028478844102
18306,699.8123809882703
18307,742.5716308212149
18308,713.5856921752451
18309,666.0567373240806
18310,668.4731077077605
18311,652.6721465901326
18312,382.9619513986973
18313,305.62367275754735
18314,258.6517615307594
18315,213.71470997606798
18316,179.88431723362194
18317,161.0261361253301
18318,173.14682199825256
18319,200.8045802169812
18320,231.23900313877147
18321,298.8113164640073
18322,424.12872784187914
18323,470.20230637061786
18324,475.1839695143457
18325,420.2631750199702
18326,449.36370999617225
18327,443.68788067667913
18328,432.3634442406643
18329,442.43565934000435
18330,453.32454052848016
18331,481.0231320516658
18332,462.2466175522871
18333,431.45830599187167
18334,433.0235826627151
18335,422.7880343455482
18336,364.99279352199966
18337,291.28334467383365
18338,246.51542704359406
18339,203.68689037125682
18340,171.4438711681387
18341,153.47054463186012
18342,165.02250946806095
18343,191.3825235580773
18344,220.3889170153987
18345,284.7906345104218
18346,404.2279621318692
18347,448.13969820209854
18348,452.88761412579254
18349,400.5437869342488
18350,428.27888049943385
18351,422.86936973391363
18352,412.0762930986313
18353,421.6759045290505
18354,432.0538628322066
18355,458.4527942658599
18356,440.5573024168546
18357,411.21362531468094
18358,412.70545682075965
18359,402.9501760157934
18360,649.6001784666402
18361,518.4149277541208
18362,438.73870455649586
18363,362.5141172232711
18364,305.1292279860365
18365,273.1409905938863
18366,293.7007346557485
18367,340.6152769732139
18368,392.23974381467724
18369,506.85945116460755
18370,719.4294271079665
18371,797.5818511948866
18372,806.0320098997058
18373,712.872473358872
18374,762.2343293995917
18375,752.6066895637731
18376,733.3975856227637
18377,750.4826059549113
18378,768.9528982058819
18379,815.9367041192886
18380,784.0869939190201
18381,731.8622425794007
18382,734.5173470904778
18383,717.155272374566
18384,643.7244544529676
18385,513.7257925891008
18386,434.7702519181742
18387,359.2351265849189
18388,302.36929165661167
18389,270.67039232320985
18390,291.0441706389043
18391,337.53436439240244
18392,388.6918807471381
18393,502.27483689341904
18394,712.9220878227787
18395,790.3676123580112
18396,798.7413382014074
18397,706.4244426328214
18398,755.3398138163748
18399,745.7992573226695
18400,726.7639023999774
18401,743.6943863456409
18402,761.9976122328449
18403,808.5564430834204
18404,776.9948179441719
18405,725.2424467481026
18406,727.8735354693882
18407,710.6685031354172
18408,667.8779988052536
18409,533.0015846308349
18410,451.0835090736509
18411,372.71418816607536
18412,313.71465852325275
18413,280.8263671049741
18414,301.9646013222079
18415,350.1991795697296
18416,403.2762056334399
18417,521.1209712386676
18418,739.6720351781032
18419,820.0234364418149
18420,828.7113575237997
18421,732.9305882183119
18422,783.6813403311085
18423,773.7828072950766
18424,754.0332162016032
18425,771.5989582799326
18426,790.5889497159649
18427,838.8947404313719
18428,806.1488739488627
18429,752.454673163482
18430,755.1844844324116
18431,737.3338924825421
18432,631.42321082548
18433,503.90875660631696
18434,426.46201575620563
18435,352.3703278638144
18436,296.591169827607
18437,265.4980201759611
18438,285.4824660545544
18439,331.0842560885809
18440,381.26417858665377
18441,492.67662279134174
18442,699.2985129701228
18443,775.2640933171606
18444,783.4778015614787
18445,692.9250344417452
18446,740.905658011012
18447,731.5474166506825
18448,712.8758175816323
18449,729.4827686767007
18450,747.4362293200182
18451,793.1053448314576
18452,762.1468461346358
18453,711.3834361656556
18454,713.9642461331325
18455,697.0879931284147
18456,611.5534768859465
18457,488.0516693914219
18458,413.04203587090007
18459,341.2818779259559
18460,287.25798800556845
18461,257.143282922206
18462,276.49885482890727
18463,320.6656399096663
18464,369.26649199656504
18465,477.1729902905757
18466,677.2928673764764
18467,750.8679498067768
18468,758.8231876707328
18469,671.1199505640081
18470,717.590711638154
18471,708.5269570226633
18472,690.4429190368407
18473,706.5272797453847
18474,723.9157778086757
18475,768.1477697571725
18476,738.1634784092839
18477,688.9975001353288
18478,691.4970967319268
18479,675.1519085524341
18480,396.1521780395543
18481,316.1501636942051
18482,267.5604151011392
18483,221.0756121512676
18484,186.08001083916525
18485,166.5723038917027
18486,179.11045837507734
18487,207.7208232377576
18488,239.20348850988037
18489,309.10317175829414
18490,438.73684759033034
18491,486.39732252151794
18492,491.55056737375287
18493,434.7381548634597
18494,464.8409895467329
18495,458.9696695921376
18496,447.2551894908827
18497,457.6743184270948
18498,468.9382416013783
18499,497.5908461759624
18500,478.1676186523065
18501,446.31887587701976
18502,447.9380648333231
18503,437.3499770494969
18504,377.56411461647554
18505,301.31591660500226
18506,255.00607300458088
18507,210.70240779252896
18508,177.34885338254708
18509,158.75647774986538
18510,170.70632293276196
18511,197.97424591046578
18512,227.97969658868737
18513,294.5995802613308
18514,418.15064662733465
18515,463.5748195011182
18516,468.4862662579292
18517,414.3395786521045
18518,443.0299424938031
18519,437.43411381186274
18520,426.2692949548501
18521,436.199542495943
18522,446.93494524307044
18523,474.24312598107616
18524,455.7312658689976
18525,425.37691460149466
18526,426.92012874639425
18527,416.8288501640948
18528,671.974133758005
18529,536.2705146219167
18530,453.8500307010014
18531,375.000066150175
18532,315.6386889304024
18533,282.54869169121685
18534,303.8165679391382
18535,352.3469716850957
18536,405.7495222638171
18537,524.3170367307498
18538,744.2084871682656
18539,825.0526882903459
18540,833.7938929020688
18541,737.4256945187321
18542,788.4877039719107
18543,778.528462651997
18544,758.6577461575891
18545,776.3312199627112
18546,795.437678130411
18547,844.0397310944977
18548,811.0930322915692
18549,757.0695218223981
18550,759.8160751840051
18551,741.856004506368
18552,665.8960341721688
18553,531.4198731625634
18554,449.7448939925266
18555,371.6081383478218
18556,312.78369304874144
18557,279.9929994410663
18558,301.0685047876091
18559,349.1599442757325
18560,402.0794613502625
18561,519.5745161429742
18562,737.477017800038
18563,817.5899718685907
18564,826.2521110677312
18565,730.755576454257
18566,781.355722923553
18567,771.486564327811
18568,751.7955812303117
18569,769.3091960045297
18570,788.2428335982788
18571,836.4052742273793
18572,803.7565829016565
18573,750.2217226053302
18574,752.9434330094318
18575,735.145813671308
18576,690.8814907678718
18577,551.3595746979599
18578,466.6200230687331
18579,385.5514546236759
18580,324.5198244948892
18581,290.4987729787215
18582,312.36506411921056
18583,362.26096933815813
18584,417.1661091361738
18585,539.0697614292185
18586,765.1483044168424
18587,848.2672213293122
18588,857.2543774858748
18589,758.1746641204934
18590,810.6734069148396
18591,800.4339421135102
18592,780.0041226537837
18593,798.1748755386363
18594,817.8189327114502
18595,867.7885031447962
18596,833.914782057424
18597,778.3712104012925
18598,781.1950436198845
18599,762.72962987744
18600,653.171103055736
18601,521.2647123974091
18602,441.15050011970993
18603,364.5068977334961
